Symbol,Description                                   ,Stock Exchange
AAIT,AC Asia Information Tech MSCI Ishares         ,NYSE
AAL,American Airlines Group Inc.                  ,NYSE
AAME,Atlantic American Corp                        ,NYSE
AAOI,Applied Optoelectronics Inc                   ,NYSE
AAON,Aaon Inc                                      ,NYSE
AAPL,Apple Inc                                     ,NYSE
AAVL,Avalanche Biotechnologies Inc.                ,NYSE
AAWW,Atlas Air Worldwide Holdings                  ,NYSE
AAXJ,All Country Asia Ex Jpn Idx MSCI Ishares      ,NYSE
ABAC,Aoxin Tianli Group Inc.                       ,NYSE
ABAX,Abaxis Inc                                    ,NYSE
ABCB,Ameris Bancorp                                ,NYSE
ABCD,Cambium Learning Group                        ,NYSE
ABCO,The Advisory Board Company                    ,NYSE
ABCW,Anchor Bancorp Wisconsin Inc                  ,NYSE
ABDC,Alcentra Capital Corp.                        ,NYSE
ABGB,Abengoa S.A.                                  ,NYSE
ABIO,Arca Biopharma                                ,NYSE
ABMD,Abiomed                                       ,NYSE
ABTL,Autobytel Inc                                 ,NYSE
ABY,Abengoa Yield Plc                             ,NYSE
ACAD,Acadia Pharmaceuticals Inc                    ,NYSE
ACAS,American Capital                              ,NYSE
ACAT,Arctic Cat Inc                                ,NYSE
ACET,Aceto Corp                                    ,NYSE
ACFC,Atlantic Coast Federal Corp                   ,NYSE
ACFN,Acorn Energy                                  ,NYSE
ACGL,Arch Capital Group Ltd                        ,NYSE
ACHC,Acadia Healthcare Company Inc                 ,NYSE
ACHN,Achillion Pharmaceuticals                     ,NYSE
ACIW,Aci Worldwide                                 ,NYSE
ACLS,Axcelis Technologies                          ,NYSE
ACNB,Acnb Corp                                     ,NYSE
ACOR,Acorda Therapeutics                           ,NYSE
ACPW,Active Power                                  ,NYSE
ACRX,Acelrx Pharmaceuticals                        ,NYSE
ACSF,American Capital Senior Floatin               ,NYSE
ACST,Acasti Pharma Inc                             ,NYSE
ACTA,Actua Corporation                             ,NYSE
ACTG,Acacia Research Corp                          ,NYSE
ACTS,Actions Semiconductor Co.                     ,NYSE
ACUR,Acura Pharmaceuticals                         ,NYSE
ACWI,ACWI Index MSCI Ishares                       ,NYSE
ACWX,ACWI Ex-US Index MSCI Ishares                 ,NYSE
ACXM,Acxiom Corp                                   ,NYSE
ADAT,Authentidate Holding                          ,NYSE
ADBE,Adobe Systems Incorporated                    ,NYSE
ADEP,Adept Technology                              ,NYSE
ADHD,Alcobra Ltd                                   ,NYSE
ADI,Analog Devices                                ,NYSE
ADMA,Adma Biologics                                ,NYSE
ADMP,Adamis Pharmaceuticl                          ,NYSE
ADMS,Adamas Pharmaceuticals Inc.                   ,NYSE
ADNC,Audience Inc                                  ,NYSE
ADP,Automatic Data Processing                     ,NYSE
ADRA,Asia 50 ADR Index Bldrs                       ,NYSE
ADRD,Dev Mkts 100 ADR Index Bldrs                  ,NYSE
ADRE,Emrg Mkts 50 ADR Index Bldrs                  ,NYSE
ADRU,Europe 100 ADR Index Bldrs                    ,NYSE
ADSK,Autodesk Inc                                  ,NYSE
ADTN,Adtran Inc                                    ,NYSE
ADUS,Addus Homecare Corp                           ,NYSE
ADVS,Advent Software                               ,NYSE
ADXS,Advaxis Inc                                   ,NYSE
ADXSW,Advaxis Inc                                   ,NYSE
AEGN,Aegoin Corp                                   ,NYSE
AEGR,Aegerion Pharmaceuticals                      ,NYSE
AEHR,Aehr Test Systems                             ,NYSE
AEIS,Advanced Energy Industries                    ,NYSE
AEPI,AEP Industries Inc                            ,NYSE
AERI,Aerie Pharmaceuticals Inc                     ,NYSE
AETI,American Electric Technologies                ,NYSE
AEY,Addvantage Technologies Group                 ,NYSE
AEZS,Aeterna Zentaris                              ,NYSE
AFAM,Almost Family Inc                             ,NYSE
AFCB,Athens Bancshares Corp                        ,NYSE
AFFX,Affymetrix                                    ,NYSE
AFH,Atlas Financial Holdings Inc                  ,NYSE
AFMD,Affimed Therapeutics B.V.                     ,NYSE
AFOP,Alliance Fiber Optic Products                 ,NYSE
AFSI,Amtrust Financial Services                    ,NYSE
AGEN,Agenus Inc                                    ,NYSE
AGII,Argo Group International Holdings Ltd         ,NYSE
AGIIL,Argo Group International Holdin               ,NYSE
AGIO,Agios Pharmaceuticals Inc                     ,NYSE
AGNC,American Capital Agency                       ,NYSE
AGNCB,American Capital Agency Corp.                 ,NYSE
AGNCP,American Capital                              ,NYSE
AGND,Wisdomtree Barclays U.S. Aggreg               ,NYSE
AGRX,Agile Therapeutics Inc                        ,NYSE
AGTC,Applied Genetic Technologies Co               ,NYSE
AGYS,Agilysys Inc                                  ,NYSE
AGZD,Wisdomtree Barclays U.S. Aggreg               ,NYSE
AHGP,Alliance Holdings Gp L.P.                     ,NYSE
AHPI,Allied Healthcare Products                    ,NYSE
AIMC,Altra Holdings                                ,NYSE
AINV,Apollo Investment Corp                        ,NYSE
AIQ,Alliance Healthcare Services                  ,NYSE
AIRM,Air Methods Corp                              ,NYSE
AIRR,First Trust Rba American Indust               ,NYSE
AIRT,Air T Inc                                     ,NYSE
AIXG,Aixtron Se                                    ,NYSE
AKAM,Akamai Technologies                           ,NYSE
AKAO,Achaogen Inc                                  ,NYSE
AKBA,Akebia Therapeutics Inc.                      ,NYSE
AKER,Akers Biosciences                             ,NYSE
AKRX,Akorn Inc                                     ,NYSE
ALCO,Alico Inc                                     ,NYSE
ALDR,Alder Biopharmaceuticals Inc                  ,NYSE
ALDX,Aldeyra Therapeutics Inc.                     ,NYSE
ALGN,Align Technology                              ,NYSE
ALGT,Allegiant Travel Company                      ,NYSE
ALIM,Alimera Sciences                              ,NYSE
ALKS,Alkermes Plc                                  ,NYSE
ALLB,Alliance Bank                                 ,NYSE
ALLT,Allot Communications Ltd                      ,NYSE
ALNY,Alnylam Pharmaceuticals                       ,NYSE
ALOG,Analogic Corp                                 ,NYSE
ALOT,Astro-Med                                     ,NYSE
ALQA,Alliqua Inc                                   ,NYSE
ALSK,Alaska Communications Systems                 ,NYSE
ALTR,Altera Corp                                   ,NYSE
ALXA,Alexza Pharmaceuticals                        ,NYSE
ALXN,Alexion Pharmaceuticals                       ,NYSE
AMAG,Amag Pharmaceuticals                          ,NYSE
AMAT,Applied Materials                             ,NYSE
AMBA,Ambarella Inc                                 ,NYSE
AMBC,Ambac Financial Group Inc                     ,NYSE
AMBCW,Ambac Financial Group Inc                     ,NYSE
AMCC,Applied Micro Circuits Corp                   ,NYSE
AMCF,Andatee China Marine Fuel Services            ,NYSE
AMCN,Airmedia Group Inc                            ,NYSE
AMCX,Amc Networks Inc                              ,NYSE
AMD,Advanced Micro Devices                        ,NYSE
AMDA,Amedica Corp                                  ,NYSE
AMED,Amedisys Inc                                  ,NYSE
